Country code,Country Name,Overall Score (with health),Overall Score (with/out health),Overall Score (with/out health and education),Labour Market Mobility Strand,Family Reunification Strand,Education Strand,Political Participation Strand,Permanent Residence Strand,Citizenship Strand,Antidiscrimination Strand,Health Strand
AT,Austria,47.1,42.2,38.5,59.2,36.3,64.3,20.0,50.0,12.5,53.1,81.3
BE,Belgium,69.9,69.4,68.7,55.6,47.9,73.9,65.0,79.2,64.5,100.0,72.9
BG ,Bulgaria,39.3,40.8,44.0,48.1,37.9,21.4,0.0,68.8,9.4,100.0,29.1
CY,Cyprus,40.9,41.7,41.9,29.7,35.2,40.4,25.0,50.0,50.0,61.8,35.5
CZ,Czechia,48.9,48.4,46.2,53.7,62.9,61.9,10.0,50.0,36.4,64.2,52.1
DE,Germany,58.3,57.7,58.2,81.4,41.5,54.7,60.0,54.2,41.8,70.5,62.6
DK,Denmark,48.6,46.9,47.2,64.8,25.2,45.3,60.0,41.7,40.6,50.7,60.4
EE,Estonia,51.0,52.6,49.9,68.6,75.9,69.0,20.0,66.7,15.6,52.5,39.7
ES,Spain,64.3,62.8,65.0,66.7,62.9,50.0,55.0,75.0,30.1,100.0,75.0
FI,Finland,84.2,85.8,85.4,90.8,66.7,88.1,85.0,95.8,73.9,100.0,73.0
FR,France,56.4,55.8,57.9,51.9,43.3,42.9,45.0,58.3,69.9,79.2,60.4
GR,Greece,49.0,49.4,49.3,72.2,51.8,50.0,20.0,45.8,39.5,66.7,45.9
HR,Сroatia,43.9,46.0,46.9,50.0,64.8,40.4,20.0,54.2,18.8,74.0,29.2
HU,Hungary,40.6,44.0,51.4,37.0,58.3,0.0,15.0,81.3,25.0,91.7,16.7
IE,Ireland,58.9,55.1,57.9,22.2,46.3,38.1,60.0,50.0,79.3,89.6,85.4
IT,Italy,57.7,54.6,56.6,66.7,63.7,42.9,25.0,66.7,39.5,77.8,79.2
LT,Lithuania,37.3,38.2,37.4,51.9,42.6,42.9,5.0,52.1,21.9,51.0,31.2
LU,Luxembourg,63.9,65.6,65.8,40.8,51.8,64.3,85.0,58.3,79.3,79.8,52.2
LV,Latvia,36.0,37.6,39.5,33.3,47.2,26.2,20.0,45.8,23.9,66.7,25.0
MT,Malta,48.4,47.2,48.4,48.1,36.3,40.4,35.0,45.8,62.5,62.5,56.3
NL,Netherlands,57.0,55.9,55.6,64.8,29.6,57.1,50.0,52.1,52.0,85.4,64.7
PL,Poland,43.7,45.1,44.7,42.6,50.0,47.6,20.0,50.0,50.0,55.9,33.3
PT,Portugal,83.5,85.3,87.2,94.4,92.6,73.8,80.0,70.8,85.5,100.0,70.8
RO,Romania,52.0,51.7,52.0,46.3,66.7,50.1,5.0,56.3,37.5,100.0,54.3
SK,Slovakia,39.2,39.8,42.0,16.7,59.3,26.2,5.0,64.6,28.1,78.5,35.5
SE,Sweden,86.4,86.8,85.8,90.8,71.3,92.9,80.0,89.6,83.3,100.0,83.4
SI,Slovenia,52.5,55.2,56.9,48.1,64.8,45.2,40.0,70.8,21.9,95.8,33.3
,,,,,,,,,,,,
